rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
6666,7944,All India,"GOVERNMENT VILLUPURAM MEDICAL COLLEGE, VILLUPURAM",M.S. (GENERAL SURGERY),Seat Surrende red,All India,"S.V. Medical College, Tirupathi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,All India,"Governm ent Medical College, Cuddalor e District,G ovt. Medical College and Hospital, Cuddalor e District Erstwhile Rajah Muthiah Medical College, Tamil Nadu, 608002",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,4
6667,7945,-,-,-,-,DNB Quota,"Dr. R N Cooper Municipal General Hospital, (Associated with H B T (Hinduhridayasa mrat Balasaheb Thackeray) medical College)",(NBEMS) Obstetrics and Gynaecology,Reported,-,-,-,-,-,-
6668,7946,-,-,-,-,-,-,-,-,DNB Quota,"Apollo Specialty Hospital, ,Lake View Road, KK. Nagar, Madurai - 625020, Tamil Nadu, 625020",(NBEMS) GENERAL MEDICIN E,Open,OBC,86
6669,7948,All India,"Government Medical College,Theni",M.D. (PAEDIATRICS),Not Reported,All India,"NSC Government Medical College, Khandwa (MP)",M.D. (PAEDIATRICS),Reported,DNB Quota,"Tata Motors Hospital, ,KHARA NGAJHA R, TELCO COLONY JAMSHE DPUR, Jharkhan d, 831003",(NBEMS) GENERAL MEDICIN E,Open,EWS,166
6670,7952,All India,MADRAS MEDICAL COLLEGE,M.D. (PATHOLOGY),Not Reported,-,-,-,-,-,-,-,-,-,-
6671,7955,All India,DARBHANGA MEDICAL COLLEGE,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,-,-,-,-,-,-,-,-,-,-
6672,7956,DNB Quota,"Yashoda Super Speciality Hospital, Uttar Pradesh",(NBEMS) GENERAL MEDICINE,Not Reported,DNB Quota,"Paras Hospital,",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6673,7958,All India,Rangaraya Medical College,M.S. (GENERAL SURGERY),Reported,All India,Kakatiya Medical College,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-
6674,7959,All India,"Government Medical College, Gondia",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,All India,"DR. SHANKARRAO CHAVAN GOVERNMENT MEDICAL COLLEGE, NANDED",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,All India,"Governm ent Medical College, Auranga bad,Gov ernment Medical College, Auranga bad, Maharas htra, 431001",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,1
6675,7960,-,-,-,-,DNB Quota,VishwaRaj Hospital,(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6676,7961,-,-,-,-,-,-,-,-,All India,"SWAMI RAMAN AND TEERTH RURAL GOVER NMENT MEDICA L COLLEG E AMBAJO GAI,SW AMI RAMAN AND TEERTH RURAL GOVER NMENT MEDICA L COLLEG E AMBAJO GAI, Maharas htra, 431517",M.D. (PAEDIAT RICS),Open,General,234
6677,7962,All India,Midnapore Medical College and Hospital,M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-
